FullName,UnitCode,UnitName,StateCode
Acadia National Park,ACAD,Acadia,['ME']
Arches National Park,ARCH,Arches,['UT']
Badlands National Park,BADL,Badlands,['SD']
Big Bend National Park,BIBE,Big Bend,['TX']
Biscayne National Park,BISC,Biscayne,['FL']
Black Canyon of the Gunnison National Park,BLCA,Black Canyon of the Gunnison,['CO']
Bryce Canyon National Park,BRCA,Bryce Canyon,['UT']
Canyonlands National Park,CANY,Canyonlands,['UT']
Capitol Reef National Park,CARE,Capitol Reef,['UT']
Carlsbad Caverns National Park,CAVE,Carlsbad Caverns,['NM']
Channel Islands National Park,CHIS,Channel Islands,['CA']
Congaree National Park,CONG,Congaree,['SC']
Congaree National Park,COSW,Congaree,['SC']
Crater Lake National Park,CRLA,Crater Lake,['OR']
Cuyahoga Valley National Park,CUVA,Cuyahoga Valley,['OH']
Denali National Park,DENG,Denali,['AK']
Death Valley National Park,DEVA,Death Valley,"['CA', 'NV']"
Dry Tortugas National Park,DRTO,Dry Tortugas,['FL']
Everglades National Park,EVER,Everglades,['FL']
Gates of the Arctic National Park,GAAG,Gates of the Arctic,['AK']
Glacier National Park,GLAC,Glacier,['MT']
Glacier Bay National Park,GLBG,Glacier Bay,['AK']
Great Basin National Park,GRBA,Great Basin,['NV']
Grand Canyon National Park,GRCA,Grand Canyon,['AZ']
Great Sand Dunes National Park,GRDG,Great Sand Dunes,['CO']
Great Smoky Mountains National Park,GRSM,Great Smoky Mountains,"['NC', 'TN']"
Grand Teton National Park,GRTE,Grand Teton,['WY']
Guadalupe Mountains National Park,GUMO,Guadalupe Mountains,['TX']
Haleakala National Park,HALE,Haleakala,['HI']
Hawaii Volcanoes National Park,HAVO,Hawaii Volcanoes,['HI']
Hot Springs National Park,HOSP,Hot Springs,['AR']
Indiana Dunes National Park,INDU,Indiana Dunes,['IN']
Isle Royale National Park,ISRO,Isle Royale,['MI']
Gateway Arch National Park,JEFF,Gateway Arch,"['IL', 'MO']"
Joshua Tree National Park,JOTR,Joshua Tree,['CA']
Katmai National Park,KATG,Katmai,['AK']
Kenai Fjords National Park,KEFJ,Kenai Fjords,['AK']
Kings Canyon National Park,KICA,Kings Canyon,['CA']
Kobuk Valley National Park,KOVA,Kobuk Valley,['AK']
Lake Clark National Park,LACG,Lake Clark,['AK']
Lassen Volcanic National Park,LAVO,Lassen Volcanic,['CA']
Mammoth Cave National Park,MACA,Mammoth Cave,['KY']
Mesa Verde National Park,MEVE,Mesa Verde,['CO']
Mount Rainier National Park,MORA,Mount Rainier,['WA']
North Cascades National Park,NOCA,North Cascades,['WA']
National Park of American Samoa,NPSA,National Park of American Samoa,['AS']
Olympic National Park,OLYM,Olympic,['WA']
Petrified Forest National Park,PEFO,Petrified Forest,['AZ']
Pinnacles National Park,PINN,Pinnacles,['CA']
Redwood National Park,REDW,Redwood,['CA']
Rocky Mountain National Park,ROMO,Rocky Mountain,['CO']
Saguaro National Park,SAGU,Saguaro,['AZ']
Sequoia National Park,SEQU,Sequoia,['CA']
Shenandoah National Park,SHEN,Shenandoah,['VA']
Theodore Roosevelt National Park,THRO,Theodore Roosevelt,['ND']
Virgin Islands National Park,VIIS,Virgin Islands,['VI']
Voyageurs National Park,VOYA,Voyageurs,['MN']
White Sands National Park,WHSA,White Sands,['NM']
Wind Cave National Park,WICA,Wind Cave,['SD']
Wrangell-St. Elias National Park,WRSG,Wrangell-St. Elias,['AK']
Yellowstone National Park,YELL,Yellowstone,"['ID', 'MT', 'WY']"
Yosemite National Park,YOSE,Yosemite,['CA']
Zion National Park,ZION,Zion,['UT']
