UnitCode,Month,Visitors,StateCode,SpansStates,Park,Lat,Lon
ROMO,0,118152,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,1,99873,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,2,146414,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,3,160259,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,4,280351,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,5,698224,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,6,973992,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,7,830039,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,8,752320,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,9,374003,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,10,123376,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
ROMO,11,113050,CO,1.0,Rocky Mountain National Park,40.3556924,-105.6972879
YELL,0,33896,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,0,33896,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,0,33896,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,0,33896,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,0,33896,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,0,33896,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
GRSM,0,496743,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,0,496743,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,1,421770,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,1,421770,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,2,786305,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,2,786305,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,3,999259,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,3,999259,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,4,1096056,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,4,1096056,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,5,1469857,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,5,1469857,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,6,1613133,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,6,1613133,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,7,1411231,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,7,1411231,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,8,1273326,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,8,1273326,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,9,1408013,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,9,1408013,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,10,851419,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,10,851419,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,11,720631,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,11,720631,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,0,496743,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,0,496743,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,1,421770,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,1,421770,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,2,786305,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,2,786305,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,3,999259,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,3,999259,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,4,1096056,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,4,1096056,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,5,1469857,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,5,1469857,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,6,1613133,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,6,1613133,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,7,1411231,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,7,1411231,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,8,1273326,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,8,1273326,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,9,1408013,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,9,1408013,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,10,851419,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,10,851419,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,11,720631,NC,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
GRSM,11,720631,TN,2.0,Great Smoky Mountains National Park,35.60116374,-83.50818326
YELL,0,33896,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,0,33896,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,0,33896,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,1,31650,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,2,28695,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,3,48150,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,4,434385,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,5,781853,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,6,936062,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,7,820006,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,8,693118,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,9,171339,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,10,15628,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,ID,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,MT,3.0,Yellowstone National Park,44.59824417,-110.5471695
YELL,11,25506,WY,3.0,Yellowstone National Park,44.59824417,-110.5471695
